"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"pédaler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"instrument";"schéma moteur";"Se déplacer à bicyclette. / Marcher très vite.";"Faire mouvoir les pédales d’une bicyclette. / (Familier) Circuler, se déplacer rapidement à bicyclette.";""
"péleriner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Aller en pèlerinage/ (P. ext.) Voyager longuement. ";"Aller en pèlerinage.";""
"penduler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Effectuer un mouvement pendulaire.";"Se balancer comme une pendule.";""
"pénétrer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"immixtion";"";"Entrer bien avant ou profondément dans. / S'introduire dans (un lieu), s'avancer jusqu'à (un endroit).";"Passer à travers ; entrer fort avant.";""
"percer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Traverser, de part en part, en faisant un trou; faire un trou plus ou moins profond. / Passer, pénétrer à travers.";"Traverser en faisant un trou, une ouverture, perforer. / Pénétrer, passer à travers. / Se manifester ; apparaître.";""
"percoler";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"";"Passer à travers des matériaux poreux, en parlant de liquides (souvent des liquides sous pression).";""
"percuter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Entrer violemment en contact (avec un obstacle), heurter violemment.";"Frapper, avec l’idée d’un choc violent.";""
"pérégriner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"finalité";"Se déplacer, faire un long voyage.";"Voyager par fantaisie, se déplacer.";""
"petonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"(Rare) Aller à petits pas.";"Trottiner, faire des petits pas.";""
"pierrailler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"milieu";"";"Circuler dans la pierraille.";""
"piéter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"instrument";"Aller à pied, être sur ses pieds. / (CHASSE) (Le suj. désigne un gibier à plumes) S'échapper, avancer en marchant ou en courant, au lieu de s'envoler. ";"(Chasse) Aller sur ses pieds, courir au lieu de voler, en parlant des oiseaux.";"Paramètre 2: Instrument atypique"
"piétiner 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"puissance de la force";"Frapper vivement des pieds sur place; marteler le sol avec un bruit sourd. ";"Remuer fréquemment et vivement les pieds, s’agiter sur place.";""
"piétiner 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"effort";"Avancer difficilement, à petit pas; aller et venir en marquant de nombreux arrêts.";"";""
"piquer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"forme de la trajectoire";"Effectuer rapidement un mouvement descendant et (presque) vertical. / (Le suj. désigne une pers., un animal, p.méton. un objet doté de mouvement) Se diriger, se lancer rapidement vers un objectif. ";"(Aéronautique) Descendre brusquement.";""
"piroguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"";"Naviguer sur une pirogue.";""
"pirouetter 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"vitesse";"Exécuter un tour complet sur soi-même dans l'axe vertical.";"Faire rapidement un mouvement circulaire, en parlant des choses comme des personnes.";""
"pirouetter 2";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"schéma moteur";"finalité";"Faire un demi-tour, changement de direction (auteurs).";"";""
"pirouetter 3";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"finalité";"";"Courir çà et là pour échapper à ses poursuivants.";""
"pivoter 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"";"";"Auteurs: basculer 2 (idée de mouvement de renversement)"
"pivoter 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Tourner sur un pivot ou comme sur un pivot. (Le suj. désigne un objet) Exercer un mouvement de rotation autour d'un axe. / (Le suj. désigne une pers., un groupe de pers., un animal) Tourner sur soi-même en prenant appui sur une partie du corps, en faisant un tour complet ou en changeant de direction. ";"Tourner sur un pivot, ou comme sur un pivot. / Tourner, en parlant des hommes.";""
"planer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Se soutenir en l'air sans remuer ou sans paraître remuer les ailes, sans mouvement apparent. / Voler comme un planeur, évoluer sous la sollicitation de son poids et des forces aérodynamiques.";"Se soutenir en l’air, les ailes étendues et immobiles, en parlant des oiseaux. / (Par analogie) Se soutenir sur les plans horizontaux, le moteur arrêté, en parlant d’un avion.";""
"plier";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Empl. intrans. − Se courber, s'incliner (sous l'effet d'une pression, d'une charge). Synon. fléchir, ployer. ";"Devenir courbé";""
"plisser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"(re)configuration de la cible";"";"Former des plis, une série de plis dans (un tissu); en partic., en les couchant dans le sens voulu puis en les marquant par la pression des doigts, en les maintenant par une couture ou par un repassage. / Former des plis sur une surface horizontale, un liquide. / Faire des plis.";"Faire des plis.";""
"plonger 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"schéma moteur";"milieu";"Enfoncer, faire entrer dans l'eau ou dans un liquide (partiellement ou totalement). Synon. tremper.";"";""
"plonger 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"milieu";"Faire entrer (rapidement) quelqu'un, quelque chose dans.";"S’enfoncer entièrement dans l’eau, en sorte que l’eau passe par-dessus la tête.";""
"plonger 3";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Faire de la plongée (auteurs)";"";""
"ployer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Fléchir, se courber (sous l'effet d'une pression, d'une charge).";"Se plier ; se courber.";""
"poindre";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Apparaître sous forme de pointe. Synon. pointer. / (P. ext., littér.) (Le suj. désigne le plus souvent un astre ou le jour naissant) Commencer à apparaître. ";"Paraître, pousser, apparaître.";""
"pointer 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"(Le suj. désigne un oiseau) Monter en flèche. / Se diriger vers.";"";""
"pointer 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"[Le suj. désigne un animal] Se dresser sur ses pattes de derrière. ";"";""
"polker";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser la polka.";"Danser la polka.";""
"popper 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser la pop.";""
"popper 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"vitesse";"";"Surgir.";""
"pouloper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"";"(Argot) Courir.";""
"pourchasser";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Poursuivre avec acharnement (un animé qui fuit) pour s'en emparer. ";"Poursuivre ou rechercher avec obstination, avec ardeur.";""
"poursuivre";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Chercher à atteindre. / Suivre avec ardeur pour rattraper, rejoindre (un animé qui fuit).";"Suivre quelqu’un avec application, avec ardeur, courir après quelqu’un dans le dessein de l’atteindre, de le prendre.";""
"prendre la clef des champs";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Partir, sortir, aller se promener en toute liberté, ne pas rester enfermé. (Le suj. désigne un prisonnier) S'évader.";"S'en aller, s'évader, s'enfuir.";""
"prendre la fuite";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Se sauver, s'enfuir.";"S'enfuir.";""
"prendre la poudre d'escampette";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"discrétion";"Prendre la fuite.";"S'enfuir discrètement.";""
"prendre la tangente";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"";"S'esquiver, s'enfuir.";""
"prendre le large";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Partir, s'en aller; s'enfuir.";"S'enfuir.";""
"prendre N(voie)";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le compl. indique une voie, un passage) Synon. de suivre, longer.";"Choisir une route, un chemin, s’y mettre en marche, en parlant particulièrement de ceux qui voyagent, qui cheminent. / (Par extension) (Absolument) Entrer dans un chemin qui se présente au choix.";""
"prendre port";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Aborder, débarquer à terre, au port.";""
"prendre ses cliques et ses claques";"ne pas le mettre";"";"";"";"";"";"";"s'en aller en emportant toutes ses affaires";""
"prendre ses jambes à son cou";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Se sauver. / Fuir en courant (lerobert.com)";"Partir, s'enfuir précipitamment.";""
"prendre terre";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Aborder.";"Border, débarquer à terre, au port.";""
"processionner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"forme de la trajectoire";"Aller en procession, faire une procession. / Marcher, se déplacer en file.";"Aller en procession.";""
"progresser";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Avancer, gagner du terrain. Synon. cheminer.";"Avancer.";""
"prospecter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"extension";"";"Parcourir une région, un lieu à la recherche de quelque chose qui s'y trouve potentiellement.";"";""
"provenir";"Mouvement inféré";"";"télique";"";"";"";"Venir de, avoir pour origine.";"Procéder, venir, dériver, résulter.";""
"quadriller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"extension";"";"Procéder au quadrillage d'un territoire. / Former, dans une ville, une région, un réseau dense de voies de communication qui se croisent.";"(Par extension) Contrôler une zone de territoire en la divisant en sections surveillées par des policiers ou des militaires.";""
"quitter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Laisser un lieu; cesser d'y être, s'en éloigner.";"Se retirer de quelque part.";""
"rabouler";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Arg., pop., vieilli) Venir, arriver; revenir. Synon. pop. se ramener.";"(Argot) Arriver à toute vitesse, débouler. / (Argot) Venir, revenir.";""
"raccourir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"schéma moteur";"Revenir en courant.";"Retourner en courant à l'endroit où on était.";""
"racler";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Frotter rudement.";"Heurter en frottant.";""
"radiner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le suj. désigne une pers.; p. métaph., une chose) Arriver, venir. Synon. rappliquer (fam., pop.). ";"(Familier) Venir, arriver.";""
"rallier";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Rassembler, unir de nouveau des éléments qui ont été dispersés. / Faire que quelqu'un rejoigne, s'associe à un groupe, un ensemble. ";"Se rapprocher de. / Rejoindre, atteindre, parvenir avec difficulté.";""
"ramer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"instrument";"schéma moteur";"Se déplacer à l'aide d'un élément fonctionnant comme une rame; faire un mouvement rappelant celui d'une rame à l'aide de quelque chose. / Voler avec un mouvement d'ailes rappelant celui des rames.";"Manœuvrer la rame.";""
"ramper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Progresser par des mouvements d'ondulation en prenant appui sur la face ventrale du corps. / Progresser lentement avec l'aide des membres, le corps appuyé au sol ou maintenu près du sol.";"Se traîner sur le ventre.";""
"randonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Faire une randonnée.";"Faire de la randonnée.";"'+ t de vénerie, sujet animal chassé à courre : ""tourner rapidement autour de l'endroit où la poursuite a commencé"" (PR)"
"rappliquer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Pop. ou fam.) (Le plus souvent dans des propos rapportés au style dir.) Synon. de venir, arriver ou de revenir, retourner.";"Se ramener, venir rapidement, à la suite d’un événement déclencheur.";""
"raser";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Passer très près (d'une surface ou d'une ligne).";"Passer tout près, effleurer.";""
"ratisser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"extension";"(re)configuration de la cible";"Procéder avec l'aide de nombreux spécialistes (et parfois d'animaux dressés à cet effet), se déplaçant en ligne et de manière systématique, à la fouille d'un terrain...";"";""
"rattraper";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Rejoindre une personne ou un animal qui a pris de l'avance. ";"(Familier) Rejoindre quelqu’un à qui on a laissé prendre les devants.";""
"re-aller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Retourner, se rendre en un lieu où on est déjà allé une première fois.";""
"réaccourir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"schéma moteur";"Revenir en courant.";"Revenir en courant à l'endroit où l'on se trouvait.";""
